name,location,country,length,turns
Albert Park Grand Prix Circuit,Melbourne,Australia,5.278,16
Autodromo Enzo e Dino Ferrari,Imola,Italy,4.909,17
Autódromo Hermanos Rodríguez,Mexico City,Mexico,4.304,17
Autódromo Internacional do Algarve,Portimão,Portugal,4.653,15
Autodromo Internazionale del Mugello,Mugello,Italy,5.245,14
Autódromo José Carlos Pace,São Paulo,Brazil,4.309,15
Autodromo Nazionale di Monza,Monza,Italy,5.793,11
Bahrain International Circuit,Sakhir,Bahrain,5.412,15
Baku City Circuit,Baku,Azerbaijan,6.003,20
Buddh International Circuit,Uttar Pradesh,India,5.141,16
Circuit de Barcelona-Catalunya,Montmeló,Spain,4.657,14
Circuit de Monaco,Monte-Carlo,Monaco,3.337,19
Circuit de Spa-Francorchamps,Spa,Belgium,7.004,20
Circuit Gilles Villeneuve,Montreal,Canada,4.361,13
Circuit of the Americas,Austin,USA,5.513,20
Circuit Park Zandvoort,Zandvoort,Netherlands,4.259,14
Circuit Paul Ricard,Le Castellet,France,5.842,15
Hockenheimring,Hockenheim,Germany,4.574,16
Hungaroring,Budapest,Hungary,4.381,14
Istanbul Park,Istanbul,Turkey,5.338,14
Jeddah Corniche Circuit,Jeddah,Saudi Arabia,6.174,27
Korean International Circuit,Yeongam County,Korea,5.615,18
Las Vegas Strip Street Circuit,Las Vegas,United States,6.201,17
Losail International Circuit,Al Daayen,Qatar,5.419,16
Marina Bay Street Circuit,Marina Bay,Singapore,4.94,23
Miami International Autodrome,Miami,USA,5.412,18
Nürburgring,Nürburg,Germany,5.148,15
Red Bull Ring,Spielberg,Austria,4.318,10
Sepang International Circuit,Kuala Lumpur,Malaysia,5.543,15
Shanghai International Circuit,Shanghai,China,5.451,16
Silverstone Circuit,Silverstone,UK,5.891,18
Sochi Autodrom,Sochi,Russia,5.848,15
Suzuka Circuit,Suzuka,Japan,5.807,18
Yas Marina Circuit,Abu Dhabi,UAE,5.281,15